エリア名,開始x座標,開始y座標,終了x座標,終了y座標,色
待合室1,100,1260,700,2160,skyblue
待合室2,700,1320,1375,2160,skyblue
待合室3,1740,1280,1930,1330,skyblue
記載台1,1375,1330,2220,1500,pink
記載台2,1375,1500,2220,2160,pink
受付1,500,1200,775,1260,greenyellow
受付2,1030,1230,1530,1320,greenyellow
