エリア名,開始x座標,開始y座標,終了x座標,終了y座標,色
待合室,100,1250,255,1450,skyblue
待合室,255,1230,475,1330,skyblue
待合室,475,1250,700,1450,skyblue
待合室,700,1320,1630,1530,skyblue
待合室,1630,1280,1900,1400,skyblue
記載台,100,1450,700,2160,pink
記載台,255,1330,475,1450,pink
記載台,700,1530,1540,2160,pink
記載台,1540,1530,2220,2160,pink
記載台,1630,1400,2220,1530,pink
